日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额(元),换手率(%),市盈率,市盈率TTM,市净率,股息率,股息率TTM,市销率,市销率TTM,总市值,总市值(元),流通市值(元),总股本(股),流通股本
2000-01-04,-9.69,-9.65,-9.62,-9.77,6787,8061847.0,-1.55,0.21,0.02,0.69,44.5284,42.8166,4.3587,0.0,,7.5263,6.7547,168515.0505,,,,
2000-01-05,-9.63,-9.69,-9.6,-9.7,7585,9166008.0,-1.04,-0.41,-0.04,0.77,43.9377,42.2485,4.3009,0.0,,7.4264,6.6651,166279.3616,,,,
2000-01-06,-9.67,-9.59,-9.57,-9.72,8487,10218827.0,-1.55,1.03,0.1,0.86,45.4884,43.7396,4.4527,0.0,,7.6885,6.9003,172148.045,,,,
2000-01-07,-9.55,-9.41,-9.41,-9.55,16248,20748344.0,-1.46,1.88,0.18,1.66,48.036,46.1893,4.7021,0.0,,8.1191,7.2868,181789.4534,,,,
2000-01-10,-9.4,-9.41,-9.36,-9.48,14382,18629706.0,-1.28,0.0,0.0,1.47,48.1837,46.3313,4.7165,0.0,,8.1441,7.3092,182348.3756,,,,
2000-01-11,-9.42,-9.59,-9.41,-9.62,8923,11267296.0,-2.23,-1.91,-0.18,0.91,45.4884,43.7396,4.4527,0.0,,7.6885,6.9003,172148.045,,,,
2000-01-12,-9.62,-9.69,-9.57,-9.7,9030,10866255.0,-1.36,-1.04,-0.1,0.92,44.0115,42.3195,4.3081,0.0,,7.4389,6.6763,166558.8228,,,,
2000-01-13,-9.7,-9.7,-9.66,-9.72,4158,4948246.5,-0.62,-0.1,-0.01,0.42,43.8269,42.142,4.29,0.0,,7.4077,6.6483,165860.17,,,,
2000-01-14,-9.65,-9.74,-9.65,-9.77,4107,4816550.5,-1.24,-0.41,-0.04,0.42,43.1623,41.5029,4.225,0.0,,7.2954,6.5475,163345.02,,,,
2000-01-17,-9.75,-9.69,-9.67,-9.81,3705,4347785.0,-1.44,0.51,0.05,0.38,44.0484,42.355,4.3117,0.0,,7.4452,6.6819,166698.5533,,,,
