日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额(元),换手率(%),市盈率,市盈率TTM,市净率,股息率,股息率TTM,市销率,市销率TTM,总市值,总市值(元),流通市值(元),总股本(股),流通股本
2000-03-09,6.91,8.1,9.01,6.91,554364,1368844160.0,-106.6,511.17,10.07,69.3,127.3043,127.3043,27.6365,,,13.4664,13.4664,1920150.0,,,,
2000-03-10,7.75,6.67,7.77,6.59,192228,458097888.0,14.57,-17.65,-1.43,24.03,115.0731,115.0731,24.9813,,,12.1726,12.1726,1735665.0,,,,
2000-03-13,6.55,6.25,6.55,6.07,69843,155415568.0,7.2,-6.3,-0.42,8.73,111.5285,111.5285,24.2118,,,11.7976,11.7976,1682202.0,,,,
2000-03-14,6.07,6.19,6.52,5.04,84776,181240928.0,23.68,-0.96,-0.06,10.6,111.0293,111.0293,24.1034,,,11.7448,11.7448,1674672.0,,,,
2000-03-15,5.93,5.88,6.43,5.81,35902,78981224.0,10.02,-5.01,-0.31,4.49,108.3834,108.3834,23.529,,,11.4649,11.4649,1634763.0,,,,
2000-03-16,5.64,5.33,5.75,5.25,32790,68696208.0,8.5,-9.35,-0.55,4.1,103.7904,103.7904,22.5319,,,10.9791,10.9791,1565487.0,,,,
2000-03-17,5.22,5.68,5.78,5.22,25000,52916960.0,10.51,6.57,0.35,3.13,106.7359,106.7359,23.1713,,,11.2907,11.2907,1609914.0,,,,
2000-03-20,5.4,5.69,5.99,5.32,31143,66416748.0,11.8,0.18,0.01,3.89,106.7858,106.7858,23.1822,,,11.296,11.296,1610667.0,,,,
2000-03-21,5.72,6.37,6.52,5.48,56105,124123536.0,18.28,11.95,0.68,7.01,112.527,112.527,24.4285,,,11.9033,11.9033,1697262.0,,,,
2000-03-22,6.37,6.03,6.4,5.81,26526,58325880.0,9.26,-5.34,-0.34,3.32,109.6814,109.6814,23.8108,,,11.6023,11.6023,1654341.0,,,,
2000-03-23,5.99,6.04,6.14,5.8,20663,44954528.0,5.64,0.17,0.01,2.58,109.7313,109.7313,23.8216,,,11.6075,11.6075,1655094.0,,,,
2000-03-24,6.11,5.75,6.17,5.72,28204,61223764.0,7.45,-4.8,-0.29,3.53,107.2851,107.2851,23.2906,,,11.3488,11.3488,1618197.0,,,,
2000-03-27,5.74,5.83,6.05,5.49,20571,44207040.0,9.74,1.39,0.08,2.57,107.984,107.984,23.4423,,,11.4227,11.4227,1628739.0,,,,
2000-03-28,5.81,5.71,5.86,5.61,21469,45949960.0,4.29,-2.06,-0.12,2.68,106.9855,106.9855,23.2255,,,11.3171,11.3171,1613679.0,,,,
2000-03-29,5.71,6.02,6.33,5.69,34003,74702712.0,11.21,5.43,0.31,4.25,109.5815,109.5815,23.7891,,,11.5917,11.5917,1652835.0,,,,
2000-03-30,6.04,6.03,6.11,5.9,20389,44612244.0,3.49,0.17,0.01,2.55,109.6315,109.6315,23.7999,,,11.597,11.597,1653588.0,,,,
2000-03-31,6.09,6.22,6.29,5.9,32598,72235408.0,6.47,3.15,0.19,4.07,111.2789,111.2789,24.1576,,,11.7712,11.7712,1678437.0,,,,
2000-04-03,6.29,6.09,6.4,6.05,18987,42322032.0,5.63,-2.09,-0.13,2.37,110.0808,110.0808,23.8975,,,11.6445,11.6445,1660365.0,,,,
2000-04-04,5.93,5.75,6.05,5.72,15193,32838574.0,5.42,-5.58,-0.34,1.9,107.335,107.335,23.3014,,,11.354,11.354,1618950.0,,,,
2000-04-05,5.75,5.65,5.92,5.63,14097,30204410.0,5.04,-1.74,-0.1,1.76,106.4364,106.4364,23.1063,,,11.259,11.259,1605396.0,,,,
2000-04-06,5.67,5.83,5.93,5.53,9350,20150034.0,7.08,3.19,0.18,1.17,107.9341,107.9341,23.4315,,,11.4174,11.4174,1627986.0,,,,
2000-04-07,5.83,5.82,6.03,5.73,9933,21514992.0,5.15,-0.17,-0.01,1.24,107.9341,107.9341,23.4315,,,11.4174,11.4174,1627986.0,,,,
2000-04-10,5.83,5.69,5.83,5.67,15020,32161684.0,2.75,-2.23,-0.13,1.88,106.8358,106.8358,23.193,,,11.3012,11.3012,1611420.0,,,,
2000-04-11,5.69,5.91,6.01,5.62,16048,34349840.0,6.85,3.87,0.22,2.01,108.6829,108.6829,23.594,,,11.4966,11.4966,1639281.0,,,,
2000-04-12,5.94,5.72,5.98,5.65,7365,15847503.0,5.58,-3.21,-0.19,0.92,106.9855,106.9855,23.2255,,,11.3171,11.3171,1613679.0,,,,
2000-04-13,5.69,5.8,5.81,5.65,10236,21921528.0,2.8,1.4,0.08,1.28,107.6845,107.6845,23.3773,,,11.391,11.391,1624221.0,,,,
2000-04-14,5.81,5.72,5.86,5.67,11766,25193956.0,3.28,-1.38,-0.08,1.47,107.0854,107.0854,23.2472,,,11.3276,11.3276,1615185.0,,,,
2000-04-17,5.71,5.54,5.71,5.46,14396,30360822.0,4.37,-3.15,-0.18,1.8,105.4878,105.4878,22.9004,,,11.1587,11.1587,1591089.0,,,,
2000-04-18,5.46,5.52,5.56,5.4,9939,20884842.0,2.89,-0.36,-0.02,1.24,105.4379,105.4379,22.8896,,,11.1534,11.1534,1590336.0,,,,
2000-04-19,5.55,5.75,5.96,5.52,8947,19307874.0,7.97,4.17,0.23,1.12,107.335,107.335,23.3014,,,11.354,11.354,1618950.0,,,,
2000-04-20,5.81,5.65,5.86,5.58,7081,15092808.0,4.87,-1.74,-0.1,0.89,106.4863,106.4863,23.1172,,,11.2643,11.2643,1606149.0,,,,
2000-04-21,5.65,5.58,5.69,5.47,5827,12298585.0,3.89,-1.24,-0.07,0.73,105.8373,105.8373,22.9763,,,11.1956,11.1956,1596360.0,,,,
2000-04-24,5.55,5.36,5.55,5.35,12146,25379094.0,3.58,-3.94,-0.22,1.52,103.9901,103.9901,22.5753,,,11.0002,11.0002,1568499.0,,,,
2000-04-25,5.75,5.54,5.75,5.46,6832,14532331.0,5.41,3.36,0.18,0.85,105.4878,105.4878,22.9004,,,11.1587,11.1587,1591089.0,,,,
2000-04-26,5.54,5.48,5.69,5.39,6627,13953654.0,5.42,-1.08,-0.06,0.83,105.0385,105.0385,22.8029,,,11.1111,11.1111,1584312.0,,,,
2000-04-27,5.46,5.39,5.57,5.36,8348,17452426.0,3.83,-1.64,-0.09,1.04,104.2897,104.2897,22.6403,,,11.0319,11.0319,1573017.0,,,,
2000-04-28,5.34,5.59,5.64,5.28,9767,20500460.0,6.68,3.71,0.2,1.22,105.9871,105.9871,23.0088,,,11.2115,11.2115,1598619.0,,,,
2000-05-08,5.58,5.54,5.65,5.4,6508,13730185.0,4.47,-0.89,-0.05,0.81,105.4878,105.4878,22.9004,,,11.1587,11.1587,1591089.0,,,,
2000-05-09,5.51,5.93,6.35,5.37,48247,106280392.0,17.69,7.04,0.39,6.03,108.8327,108.8327,23.6265,,,11.5125,11.5125,1641540.0,,,,
2000-05-10,5.94,5.73,6.32,5.69,20222,44360852.0,10.62,-3.37,-0.2,2.53,107.1353,107.1353,23.258,,,11.3329,11.3329,1615938.0,,,,
2000-05-11,5.72,5.4,5.72,5.29,10711,22533732.0,7.5,-5.76,-0.33,1.34,104.3396,104.3396,22.6511,,,11.0372,11.0372,1573770.0,,,,
2000-05-12,5.52,5.42,5.61,5.38,6691,14042592.0,4.26,0.37,0.02,0.84,104.5393,104.5393,22.6945,,,11.0583,11.0583,1576782.0,,,,
2000-05-15,5.46,5.26,5.58,5.23,5859,12170855.0,6.46,-2.95,-0.16,0.73,103.1414,103.1414,22.391,,,10.9104,10.9104,1555698.0,,,,
2000-05-16,5.29,5.38,5.52,5.27,4132,8597338.0,4.75,2.28,0.12,0.52,104.1898,104.1898,22.6186,,,11.0213,11.0213,1571511.0,,,,
2000-05-17,5.46,5.33,5.52,5.33,3839,8007387.5,3.53,-0.93,-0.05,0.48,103.7904,103.7904,22.5319,,,10.9791,10.9791,1565487.0,,,,
2000-05-18,5.33,5.39,5.43,5.23,4575,9529904.0,3.75,1.13,0.06,0.57,104.2897,104.2897,22.6403,,,11.0319,11.0319,1573017.0,,,,
2000-05-19,5.56,5.6,5.81,5.45,9018,19197782.0,6.68,3.9,0.21,1.13,106.037,106.037,23.0196,,,11.2167,11.2167,1599372.0,,,,
2000-05-22,5.6,6.06,6.08,5.49,16857,36353744.0,10.54,8.21,0.46,2.11,109.8811,109.8811,23.8541,,,11.6234,11.6234,1657353.0,,,,
2000-05-23,6.16,6.56,6.88,5.86,57414,129249584.0,16.83,8.25,0.5,7.18,114.1245,114.1245,24.7753,,,12.0723,12.0723,1721358.0,,,,
2000-05-24,6.64,6.58,7.0,6.5,81995,190672928.0,7.62,0.3,0.02,10.25,114.2743,114.2743,24.8079,,,12.0881,12.0881,1723617.0,,,,
2000-05-25,6.64,6.61,6.93,6.45,35995,82922544.0,7.29,0.46,0.03,4.5,114.6238,114.6238,24.8837,,,12.1251,12.1251,1728888.0,,,,
2000-05-26,6.65,6.7,6.94,6.42,40249,93219176.0,7.87,1.36,0.09,5.03,115.3227,115.3227,25.0355,,,12.199,12.199,1739430.0,,,,
2000-05-29,6.91,6.8,7.23,6.73,28077,66008080.0,7.46,1.49,0.1,3.51,116.1215,116.1215,25.2089,,,12.2835,12.2835,1751478.0,,,,
2000-05-30,6.94,6.48,7.23,6.4,27459,63398788.0,12.21,-4.71,-0.32,3.43,113.4256,113.4256,24.6236,,,11.9983,11.9983,1710816.0,,,,
2000-05-31,6.4,6.64,6.85,6.32,17261,39419028.0,8.18,2.47,0.16,2.16,114.7736,114.7736,24.9162,,,12.1409,12.1409,1731147.0,,,,
2000-06-01,6.65,6.4,6.82,6.35,10580,24073828.0,7.08,-3.61,-0.24,1.32,112.8265,112.8265,24.4936,,,11.935,11.935,1701780.0,,,,
2000-06-02,6.4,6.25,6.46,6.17,15475,34525216.0,4.53,-2.34,-0.15,1.93,111.4786,111.4786,24.2009,,,11.7924,11.7924,1681449.0,,,,
2000-06-05,6.23,6.07,6.35,6.0,15335,33841348.0,5.6,-2.88,-0.18,1.92,109.9809,109.9809,23.8758,,,11.6339,11.6339,1658859.0,,,,
2000-06-06,6.06,6.23,6.28,6.05,9402,20887692.0,3.79,2.64,0.16,1.18,111.3788,111.3788,24.1793,,,11.7818,11.7818,1679943.0,,,,
2000-06-07,6.29,6.22,6.34,6.17,8151,18171286.0,2.73,-0.16,-0.01,1.02,111.2789,111.2789,24.1576,,,11.7712,11.7712,1678437.0,,,,
2000-06-08,6.22,6.04,6.22,6.01,10734,23643638.0,3.38,-2.89,-0.18,1.34,109.7313,109.7313,23.8216,,,11.6075,11.6075,1655094.0,,,,
2000-06-09,6.05,5.81,6.34,5.74,13371,29140924.0,9.93,-3.81,-0.23,1.63,107.7843,107.7843,23.3989,,,11.4016,11.4016,1625727.0,,,,
2000-06-12,5.58,5.78,5.87,5.58,8132,17419502.0,4.99,-0.52,-0.03,0.99,107.4848,107.4848,23.3339,,,11.3699,11.3699,1621209.0,,,,
2000-06-13,5.83,5.98,6.04,5.83,6420,14036089.0,3.63,3.46,0.2,0.78,109.2321,109.2321,23.7132,,,11.5547,11.5547,1647564.0,,,,
2000-06-14,6.0,5.85,6.14,5.84,7461,16301034.0,5.02,-2.17,-0.13,0.91,108.1837,108.1837,23.4856,,,11.4438,11.4438,1631751.0,,,,
2000-06-15,5.81,5.78,5.87,5.74,6994,15055715.0,2.22,-1.2,-0.07,0.85,107.5846,107.5846,23.3556,,,11.3805,11.3805,1622715.0,,,,
2000-06-16,5.78,5.93,6.05,5.74,5178,11239566.0,5.36,2.6,0.15,0.63,108.7828,108.7828,23.6157,,,11.5072,11.5072,1640787.0,,,,
2000-06-19,5.92,5.71,5.92,5.67,6917,14873205.0,4.22,-3.71,-0.22,0.84,106.9356,106.9356,23.2147,,,11.3118,11.3118,1612926.0,,,,
2000-06-20,5.7,5.53,5.71,5.46,11614,24521526.0,4.38,-3.15,-0.18,1.42,105.4379,105.4379,22.8896,,,11.1534,11.1534,1590336.0,,,,
2000-06-21,5.46,5.69,5.75,5.4,4529,9620091.0,6.33,2.89,0.16,0.55,106.8358,106.8358,23.193,,,11.3012,11.3012,1611420.0,,,,
2000-06-22,5.69,5.68,5.93,5.55,4187,8964034.0,6.68,-0.18,-0.01,0.51,106.7359,106.7359,23.1713,,,11.2907,11.2907,1609914.0,,,,
2000-06-23,5.68,5.81,5.87,5.61,6063,13035691.0,4.58,2.29,0.13,0.74,107.7843,107.7843,23.3989,,,11.4016,11.4016,1625727.0,,,,
2000-06-26,5.84,5.94,6.12,5.81,11489,25078124.0,5.34,2.24,0.13,1.4,108.9325,108.9325,23.6482,,,11.523,11.523,1643046.0,,,,
2000-06-27,5.94,5.78,6.0,5.75,7063,15280437.0,4.21,-2.69,-0.16,0.86,107.5347,107.5347,23.3448,,,11.3752,11.3752,1621962.0,,,,
2000-06-28,5.77,6.13,6.17,5.72,14194,31100820.0,7.79,6.06,0.35,1.73,110.4802,110.4802,23.9842,,,11.6867,11.6867,1666389.0,,,,
2000-06-29,6.26,5.98,6.26,5.75,9103,20000604.0,8.32,-2.45,-0.15,1.11,109.2321,109.2321,23.7132,,,11.5547,11.5547,1647564.0,,,,
2000-06-30,6.11,6.16,6.46,5.99,17228,38483776.0,7.86,3.01,0.18,2.1,110.9295,110.9295,24.0817,,,11.7343,11.7343,1673166.0,,,,
2000-07-03,6.34,6.05,6.35,5.94,8839,19503836.0,6.66,-1.79,-0.11,1.08,109.8311,109.8311,23.8433,,,11.6181,11.6181,1656600.0,,,,
2000-07-04,5.99,5.93,6.05,5.87,5034,10992819.0,2.98,-1.98,-0.12,0.61,108.8327,108.8327,23.6265,,,11.5125,11.5125,1641540.0,,,,
2000-07-05,5.99,5.81,6.02,5.8,4081,8835628.0,3.71,-2.02,-0.12,0.5,107.8342,107.8342,23.4098,,,11.4069,11.4069,1626480.0,,,,
2000-07-06,5.82,5.83,6.02,5.65,4028,8692813.0,6.37,0.34,0.02,0.49,107.984,107.984,23.4423,,,11.4227,11.4227,1628739.0,,,,
2000-07-07,5.84,5.89,6.04,5.84,3678,8016569.0,3.43,1.03,0.06,0.45,108.4832,108.4832,23.5507,,,11.4755,11.4755,1636269.0,,,,
2000-07-10,5.93,5.76,6.03,5.72,7085,15279781.0,5.26,-2.21,-0.13,0.86,107.3849,107.3849,23.3122,,,11.3593,11.3593,1619703.0,,,,
2000-07-11,5.76,5.83,5.85,5.67,7271,15616017.0,3.13,1.22,0.07,0.89,107.984,107.984,23.4423,,,11.4227,11.4227,1628739.0,,,,
2000-07-12,5.84,5.98,6.05,5.77,5655,12353480.0,4.8,2.57,0.15,0.69,109.282,109.282,23.7241,,,11.56,11.56,1648317.0,,,,
2000-07-13,6.02,6.35,6.45,5.96,17256,38392992.0,8.19,6.19,0.37,2.1,112.3273,112.3273,24.3852,,,11.8821,11.8821,1694250.0,,,,
2000-07-14,6.36,6.18,6.4,6.16,10151,22695544.0,3.78,-2.68,-0.17,1.24,110.9295,110.9295,24.0817,,,11.7343,11.7343,1673166.0,,,,
2000-07-17,6.17,5.86,6.17,5.78,11301,24625708.0,6.31,-5.18,-0.32,1.38,108.2336,108.2336,23.4965,,,11.4491,11.4491,1632504.0,,,,
2000-07-18,5.87,5.99,6.05,5.81,4094,8922561.0,4.1,2.22,0.13,0.5,109.3319,109.3319,23.7349,,,11.5653,11.5653,1649070.0,,,,
2000-07-19,6.04,6.0,6.14,5.92,5615,12323087.0,3.67,0.17,0.01,0.68,109.4318,109.4318,23.7566,,,11.5758,11.5758,1650576.0,,,,
2000-07-20,6.05,6.05,6.14,5.98,7132,15700552.0,2.67,0.83,0.05,0.87,109.8311,109.8311,23.8433,,,11.6181,11.6181,1656600.0,,,,
2000-07-21,6.08,5.91,6.13,5.9,3897,8502915.0,3.8,-2.31,-0.14,0.48,108.6829,108.6829,23.594,,,11.4966,11.4966,1639281.0,,,,
2000-07-24,5.93,5.74,5.99,5.72,6530,14067230.0,4.57,-2.88,-0.17,0.8,107.1852,107.1852,23.2689,,,11.3382,11.3382,1616691.0,,,,
2000-07-25,5.69,5.81,5.9,5.69,3320,7140343.0,3.66,1.22,0.07,0.4,107.7843,107.7843,23.3989,,,11.4016,11.4016,1625727.0,,,,
2000-07-26,5.9,5.81,5.93,5.78,4002,8660665.0,2.58,0.0,0.0,0.49,107.8342,107.8342,23.4098,,,11.4069,11.4069,1626480.0,,,,
2000-07-27,5.81,6.05,6.14,5.75,9085,19706412.0,6.71,4.13,0.24,1.11,109.8311,109.8311,23.8433,,,11.6181,11.6181,1656600.0,,,,
2000-07-28,6.1,5.84,6.11,5.75,3841,8362822.0,5.95,-3.47,-0.21,0.47,108.0838,108.0838,23.464,,,11.4333,11.4333,1630245.0,,,,
2000-07-31,5.81,5.81,5.86,5.75,4894,10548953.0,1.88,-0.51,-0.03,0.6,107.8342,107.8342,23.4098,,,11.4069,11.4069,1626480.0,,,,
2000-08-01,5.81,5.87,6.01,5.77,3755,8130814.0,4.13,1.03,0.06,0.46,108.2835,108.2835,23.5073,,,11.4544,11.4544,1633257.0,,,,
2000-08-02,5.91,6.0,6.16,5.91,5927,13026247.0,4.26,2.21,0.13,0.72,109.3818,109.3818,23.7458,,,11.5706,11.5706,1649823.0,,,,
2000-08-03,6.02,5.92,6.05,5.87,4844,10595803.0,3.0,-1.33,-0.08,0.59,108.7328,108.7328,23.6049,,,11.5019,11.5019,1640034.0,,,,
2000-08-04,5.93,5.79,5.93,5.75,5187,11198266.0,3.04,-2.2,-0.13,0.63,107.6345,107.6345,23.3664,,,11.3857,11.3857,1623468.0,,,,
2000-08-07,5.79,5.83,5.93,5.69,4862,10456063.0,4.15,0.69,0.04,0.59,107.984,107.984,23.4423,,,11.4227,11.4227,1628739.0,,,,
2000-08-08,5.97,5.81,5.97,5.75,5046,10894157.0,3.77,-0.34,-0.02,0.62,107.7843,107.7843,23.3989,,,11.4016,11.4016,1625727.0,,,,
2000-08-09,5.76,5.79,5.84,5.75,5358,11546606.0,1.55,-0.34,-0.02,0.65,107.6345,107.6345,23.3664,,,11.3857,11.3857,1623468.0,,,,
2000-08-10,5.8,5.8,5.84,5.75,6653,14346067.0,1.55,0.17,0.01,0.81,107.7344,107.7344,23.3881,,,11.3963,11.3963,1624974.0,,,,
2000-08-11,5.8,5.89,6.05,5.76,10608,23110072.0,5.0,1.55,0.09,1.29,108.4832,108.4832,23.5507,,,11.4755,11.4755,1636269.0,,,,
2000-08-14,5.88,5.87,5.93,5.81,5957,12905159.0,2.04,-0.34,-0.02,0.73,108.2835,108.2835,23.5073,,,11.4544,11.4544,1633257.0,,,,
2000-08-15,5.87,5.78,5.88,5.77,5374,11596525.0,1.87,-1.53,-0.09,0.66,107.5846,107.5846,23.3556,,,11.3805,11.3805,1622715.0,,,,
2000-08-16,5.78,5.87,6.04,5.71,9304,20163832.0,5.71,1.56,0.09,1.13,108.3335,108.3335,23.5182,,,11.4597,11.4597,1634010.0,,,,
2000-08-17,5.87,5.81,5.9,5.76,3448,7443997.0,2.39,-1.02,-0.06,0.42,107.8342,107.8342,23.4098,,,11.4069,11.4069,1626480.0,,,,
2000-08-18,5.81,5.83,5.89,5.75,3812,8244069.5,2.41,0.34,0.02,0.46,107.9341,107.9341,23.4315,,,11.4174,11.4174,1627986.0,,,,
2000-08-21,5.83,5.78,5.93,5.75,5664,12194333.0,3.09,-0.86,-0.05,0.69,107.5846,107.5846,23.3556,,,11.3805,11.3805,1622715.0,,,,
2000-08-22,5.78,5.74,5.87,5.74,5574,12022946.0,2.25,-0.69,-0.04,0.68,107.2351,107.2351,23.2797,,,11.3435,11.3435,1617444.0,,,,
2000-08-23,5.72,5.5,5.73,5.19,12340,25958872.0,9.41,-4.18,-0.24,1.5,105.1883,105.1883,22.8354,,,11.127,11.127,1586571.0,,,,
2000-08-24,5.59,5.75,5.87,5.58,5138,11039064.0,5.27,4.55,0.25,0.63,107.2851,107.2851,6.004,,,11.3488,11.3488,1618197.0,,,,
2000-08-25,5.78,5.71,5.8,5.69,4328,9280820.0,1.91,-0.7,-0.04,0.53,106.9356,106.9356,5.9845,,,11.3118,11.3118,1612926.0,,,,
2000-08-28,5.69,5.6,5.71,5.55,7747,16464421.0,2.8,-1.93,-0.11,0.94,106.037,106.037,5.9342,,,11.2167,11.2167,1599372.0,,,,
