日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额(元),换手率(%),市盈率,市盈率TTM,市净率,股息率,股息率TTM,市销率,市销率TTM,总市值,总市值(元),流通市值(元),总股本(股),流通股本
2017-11-16,10.89,13.29,13.29,10.89,80,112938.0,27.03,49.66,4.41,0.04,31.6617,25.3404,2.297,,,4.0976,3.3911,125151.48,,,,
2017-11-17,14.73,14.73,14.73,14.73,30,46973.0,0.0,10.84,1.44,0.01,34.8191,27.8674,2.5261,,,4.5062,3.7292,137631.96,,,,
2017-11-20,16.32,16.32,16.32,16.32,21,36844.0,0.0,10.79,1.59,0.01,38.3054,30.6577,2.779,,,4.9574,4.1026,151412.49,,,,
2017-11-21,18.07,18.07,18.07,18.07,54,103019.0,0.0,10.72,1.75,0.02,42.1425,33.7287,3.0574,,,5.454,4.5136,166579.74,,,,
2017-11-22,19.99,19.99,19.99,19.99,69,146204.0,0.0,10.63,1.92,0.03,46.3524,37.0981,3.3628,,,5.9989,4.9645,183220.38,,,,
2017-11-23,22.1,22.1,22.1,22.1,131,304040.0,0.0,10.56,2.11,0.06,50.9788,40.8009,3.6985,,,6.5976,5.46,201507.75,,,,
2017-11-24,24.43,24.43,24.43,24.43,198,505332.0,0.0,10.54,2.33,0.09,56.0877,44.8897,4.0691,,,7.2588,6.0072,221701.86,,,,
2017-11-27,26.99,26.99,26.99,26.99,1120,3152918.0,0.0,10.48,2.56,0.52,61.7008,49.3822,4.4764,,,7.9852,6.6083,243889.38,,,,
2017-11-30,29.8,29.8,29.8,29.8,2340,7241804.0,0.0,10.41,2.81,1.08,67.8621,54.3134,4.9234,,,8.7826,7.2682,268243.65,,,,
2017-12-01,32.9,32.9,32.9,32.9,2349,7998753.0,0.0,10.4,3.1,1.08,74.6593,59.7535,5.4165,,,9.6623,7.9962,295111.35,,,,
2017-12-04,34.88,29.5,34.93,29.5,116803,380221888.0,16.5,-10.33,-3.4,53.9,67.2043,53.7869,4.8756,,,8.6975,7.1978,265643.55,,,,
2017-12-05,28.75,26.99,29.35,26.44,89166,257079554.0,9.86,-8.51,-2.51,41.15,61.7008,49.3822,4.4764,,,7.9852,6.6083,243889.38,,,,
2017-12-06,26.75,27.71,28.06,26.07,70995,202290403.0,7.37,2.67,0.72,32.76,63.2795,50.6457,4.5909,,,8.1895,6.7774,250129.62,,,,
