日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额(元),换手率(%),总市值(元),流通市值(元),总股本(股),流通股本
2000-01-04,-1.59,-1.58,-1.57,-1.65,3308,6419000.0,-5.06,0.0,0.0,0.55,,,,
2000-01-05,-1.57,-1.57,-1.52,-1.62,5153,10185000.0,-6.33,0.63,0.01,0.86,,,,
2000-01-06,-1.59,-1.49,-1.49,-1.59,5450,10848000.0,-6.37,5.1,0.08,0.91,,,,
2000-01-07,-1.39,-1.39,-1.39,-1.5,15105,31151000.0,-7.38,6.71,0.1,2.52,,,,
2000-01-10,-1.4,-1.38,-1.35,-1.42,11742,24738000.0,-5.04,0.72,0.01,1.96,,,,
2000-01-11,-1.38,-1.39,-1.23,-1.43,19852,42656000.0,-14.49,-0.72,-0.01,3.31,,,,
2000-01-12,-1.39,-1.45,-1.27,-1.53,12247,25713000.0,-18.71,-4.32,-0.06,2.04,,,,
2000-01-13,-1.4,-1.5,-1.4,-1.52,5282,10789000.0,-8.28,-3.45,-0.05,0.88,,,,
2000-01-14,-1.5,-1.49,-1.47,-1.52,4245,8572000.0,-3.33,0.67,0.01,0.71,,,,
2000-01-17,-1.46,-1.24,-1.23,-1.48,34169,74568000.0,-16.78,16.78,0.25,5.69,,,,
2000-01-18,-1.24,-1.34,-1.23,-1.36,13883,30282000.0,-10.48,-8.06,-0.1,2.31,,,,
2000-01-19,-1.34,-1.27,-1.24,-1.36,7309,16004000.0,-8.96,5.22,0.07,1.22,,,,
2000-01-20,-1.29,-1.16,-1.03,-1.32,22021,50553000.0,-22.83,8.66,0.11,3.67,,,,
2000-01-21,-1.16,-1.16,-1.07,-1.19,15072,34533000.0,-10.34,0.0,0.0,2.51,,,,
2000-01-24,-1.09,-0.96,-0.88,-1.15,28873,69496000.0,-23.28,17.24,0.2,4.81,,,,
2000-01-25,-0.93,-1.04,-0.91,-1.1,13797,32801000.0,-19.79,-8.33,-0.08,2.3,,,,
