日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额(元),换手率(%),总市值(元),流通市值(元),总股本(股),流通股本
2002-01-11,-1.44,-1.33,-1.16,-1.44,1757892,815142320.0,-7.63,63.76,2.34,76.43,,,,
2002-01-14,-1.42,-1.4,-1.31,-1.57,559102,250238115.0,-19.55,-5.26,-0.07,24.31,,,,
2002-01-15,-1.42,-1.4,-1.23,-1.44,488133,225266868.0,-15.0,0.0,0.0,21.22,,,,
2002-01-16,-1.39,-1.35,-1.32,-1.56,408667,184644969.0,-17.14,3.57,0.05,17.77,,,,
2002-01-17,-1.38,-1.5,-1.35,-1.56,283395,126582443.0,-15.56,-11.11,-0.15,12.32,,,,
2002-01-18,-1.55,-1.55,-1.44,-1.68,306849,135035788.0,-16.0,-3.33,-0.05,13.34,,,,
2002-01-21,-1.59,-1.63,-1.54,-1.67,173233,74841527.0,-8.39,-5.16,-0.08,7.53,,,,
2002-01-22,-1.64,-1.69,-1.52,-1.73,218556,94269482.0,-12.88,-3.68,-0.06,9.5,,,,
2002-01-23,-1.69,-1.45,-1.44,-1.79,345833,148986874.0,-20.71,14.2,0.24,15.04,,,,
2002-01-24,-1.46,-1.18,-1.0,-1.58,755647,351335160.0,-40.0,18.62,0.27,32.85,,,,
2002-01-25,-1.27,-1.25,-1.11,-1.33,414103,195393826.0,-18.64,-5.93,-0.07,18.0,,,,
2002-01-28,-1.3,-1.55,-1.23,-1.58,424660,192534551.0,-28.0,-24.0,-0.3,18.46,,,,
2002-01-29,-1.64,-1.39,-1.35,-1.67,243393,109642729.0,-20.65,10.32,0.16,10.58,,,,
2002-01-30,-1.39,-1.38,-1.32,-1.46,165261,75323827.0,-10.07,0.72,0.01,7.19,,,,
2002-01-31,-1.36,-1.07,-0.99,-1.36,602219,290030681.0,-26.81,22.46,0.31,26.18,,,,
2002-02-01,-1.09,-1.16,-0.99,-1.19,362365,175084618.0,-18.69,-8.41,-0.09,15.75,,,,
2002-02-04,-1.14,-1.06,-1.04,-1.21,190938,92493407.0,-14.66,8.62,0.1,8.3,,,,
2002-02-05,-1.06,-1.08,-1.01,-1.13,187235,91184075.0,-11.32,-1.89,-0.02,8.14,,,,
2002-02-06,-1.08,-1.2,-1.05,-1.22,169764,81414480.0,-15.74,-11.11,-0.12,7.38,,,,
2002-02-07,-1.2,-1.13,-1.09,-1.2,135885,65274808.0,-9.17,5.83,0.07,5.91,,,,
2002-02-08,-1.12,-1.23,-1.09,-1.23,150448,71558490.0,-12.39,-8.85,-0.1,6.54,,,,
2002-02-25,-1.1,-1.18,-1.07,-1.2,99075,47464854.0,-10.57,4.07,0.05,4.31,,,,
2002-02-26,-1.18,-1.12,-1.12,-1.25,82932,39408416.0,-11.02,5.08,0.06,3.61,,,,
2002-02-27,-1.12,-1.07,-1.02,-1.18,179635,87715855.0,-14.29,4.46,0.05,7.81,,,,
2002-02-28,-1.07,-1.12,-1.05,-1.15,76647,37089699.0,-9.35,-4.67,-0.05,3.33,,,,
2002-03-01,-1.13,-1.19,-1.13,-1.21,57514,27384881.0,-7.14,-6.25,-0.07,2.5,,,,
2002-03-04,-1.24,-1.14,-1.13,-1.24,42051,20054317.0,-9.24,4.2,0.05,1.83,,,,
2002-03-05,-1.14,-1.08,-1.04,-1.14,107564,52266031.0,-8.77,5.26,0.06,4.68,,,,
2002-03-06,-1.06,-1.02,-0.89,-1.08,276308,136678986.0,-17.59,5.56,0.06,12.01,,,,
2002-03-07,-1.0,-0.79,-0.79,-1.0,317883,160558634.0,-20.59,22.55,0.23,13.82,,,,
2002-03-08,-0.76,-0.79,-0.69,-0.91,282404,144984693.0,-27.85,0.0,0.0,12.28,,,,
2002-03-11,-0.75,-0.7,-0.64,-0.81,202458,105672232.0,-21.52,11.39,0.09,8.8,,,,
2002-03-12,-0.69,-0.86,-0.69,-0.87,220875,113531087.0,-25.71,-22.86,-0.16,9.6,,,,
2002-03-13,-0.94,-0.97,-0.84,-0.99,245618,123220319.0,-17.44,-12.79,-0.11,10.68,,,,
2002-03-14,-0.99,-0.86,-0.85,-1.02,116876,58449303.0,-17.53,11.34,0.11,5.08,,,,
2002-03-15,-0.86,-1.03,-0.83,-1.03,129758,65343232.0,-23.26,-19.77,-0.17,5.64,,,,
2002-03-18,-1.03,-1.06,-1.01,-1.12,64566,31390037.0,-10.68,-2.91,-0.03,2.81,,,,
2002-03-19,-1.06,-0.84,-0.83,-1.08,115748,58115228.0,-23.58,20.75,0.22,5.03,,,,
2002-03-20,-0.81,-0.82,-0.74,-0.91,178281,91604642.0,-20.24,2.38,0.02,7.75,,,,
2002-03-21,-0.79,-0.82,-0.77,-0.86,107458,55053670.0,-10.98,0.0,0.0,4.67,,,,
2002-03-22,-0.82,-0.84,-0.82,-0.91,82933,42048472.0,-10.98,-2.44,-0.02,3.61,,,,
2002-03-25,-0.82,-0.72,-0.66,-0.84,164377,85785006.0,-21.43,14.29,0.12,7.15,,,,
2002-03-26,-0.72,-0.84,-0.72,-0.89,96027,49226630.0,-23.61,-16.67,-0.12,4.18,,,,
2002-03-27,-0.86,-0.83,-0.8,-0.89,64568,32864088.0,-10.71,1.19,0.01,2.81,,,,
2002-03-28,-0.84,-0.84,-0.75,-0.87,34729,17792199.0,-14.46,-1.2,-0.01,1.51,,,,
2002-03-29,-0.85,-1.0,-0.84,-1.04,94232,47039192.0,-23.81,-19.05,-0.16,4.1,,,,
2002-04-01,-1.04,-0.99,-0.97,-1.07,46003,22636358.0,-10.0,1.0,0.01,2.0,,,,
2002-04-02,-0.99,-1.1,-0.98,-1.14,59337,28825334.0,-16.16,-11.11,-0.11,2.58,,,,
2002-04-03,-1.14,-1.1,-1.05,-1.15,41210,19947261.0,-9.09,0.0,0.0,1.79,,,,
2002-04-04,-1.11,-0.96,-0.94,-1.17,49347,24108505.0,-20.91,12.73,0.14,2.15,,,,
2002-04-05,-0.89,-1.01,-0.89,-1.03,42016,20902695.0,-14.58,-5.21,-0.05,1.83,,,,
2002-04-08,-1.01,-1.02,-0.98,-1.04,20023,9865702.0,-5.94,-0.99,-0.01,0.87,,,,
2002-04-09,-1.04,-0.93,-0.89,-1.07,51688,25675735.0,-17.65,8.82,0.09,2.25,,,,
2002-04-10,-0.91,-0.92,-0.89,-0.97,36522,18246386.0,-8.6,1.08,0.01,1.59,,,,
2002-04-11,-0.92,-0.98,-0.82,-0.99,47652,24035453.0,-18.48,-6.52,-0.06,2.07,,,,
2002-04-12,-0.96,-0.94,-0.86,-0.98,23495,11745631.0,-12.24,4.08,0.04,1.02,,,,
2002-04-15,-0.94,-0.99,-0.91,-1.05,23628,11694366.0,-14.89,-5.32,-0.05,1.03,,,,
2002-04-16,-1.0,-1.04,-0.99,-1.06,23523,11538475.0,-7.07,-5.05,-0.05,1.02,,,,
2002-04-17,-1.01,-1.02,-1.0,-1.09,18393,9006137.0,-8.65,1.92,0.02,0.8,,,,
2002-04-18,-1.04,-1.08,-1.02,-1.11,18725,9125290.0,-8.82,-5.88,-0.06,0.81,,,,
2002-04-19,-1.11,-1.05,-1.04,-1.15,32366,15617920.0,-10.19,2.78,0.03,1.41,,,,
2002-04-22,-1.06,-1.09,-1.03,-1.13,14715,7146404.0,-9.52,-3.81,-0.04,0.64,,,,
2002-04-23,-1.09,-1.12,-1.07,-1.14,19728,9528346.0,-6.42,-2.75,-0.03,0.86,,,,
2002-04-24,-1.13,-1.13,-1.07,-1.15,17393,8374319.0,-7.14,-0.89,-0.01,0.76,,,,
2002-04-25,-1.13,-1.12,-1.1,-1.2,24046,11535750.0,-8.85,0.88,0.01,1.05,,,,
2002-04-26,-1.08,-1.06,-1.04,-1.1,19822,9658905.0,-5.36,5.36,0.06,0.86,,,,
2002-04-29,-1.05,-1.01,-0.99,-1.14,31336,15365686.0,-14.15,4.72,0.05,1.36,,,,
2002-04-30,-1.01,-0.99,-0.96,-1.06,36289,17925590.0,-9.9,1.98,0.02,1.58,,,,
2002-05-08,-0.97,-1.03,-0.96,-1.04,18407,9051101.0,-8.08,-4.04,-0.04,0.8,,,,
2002-05-09,-1.05,-1.05,-1.0,-1.07,16041,7869210.0,-6.8,-1.94,-0.02,0.7,,,,
2002-05-10,-1.05,-1.1,-1.02,-1.13,25021,12165510.0,-10.48,-4.76,-0.05,1.09,,,,
2002-05-13,-1.12,-1.12,-1.1,-1.15,17874,8606834.0,-4.55,-1.82,-0.02,0.78,,,,
2002-05-14,-1.12,-1.14,-1.09,-1.15,18587,8945521.0,-5.36,-1.79,-0.02,0.81,,,,
2002-05-15,-1.14,-1.19,-1.12,-1.19,23655,11303978.0,-6.14,-4.39,-0.05,1.03,,,,
2002-05-16,-1.19,-1.36,-1.18,-1.39,42578,19773808.0,-17.65,-14.29,-0.17,1.85,,,,
2002-05-17,-1.39,-1.31,-1.29,-1.4,38739,17814075.0,-8.09,3.68,0.05,1.68,,,,
2002-05-20,-1.32,-1.42,-1.32,-1.45,25815,11670943.0,-9.92,-8.4,-0.11,1.12,,,,
2002-05-21,-1.32,-1.23,-1.2,-1.34,60396,28269859.0,-9.86,13.38,0.19,2.63,,,,
2002-05-22,-1.23,-1.3,-1.19,-1.34,23178,10796803.0,-12.2,-5.69,-0.07,1.01,,,,
2002-05-23,-1.26,-1.33,-1.24,-1.33,17392,8097901.0,-6.92,-2.31,-0.03,0.76,,,,
2002-05-24,-1.3,-1.41,-1.3,-1.44,21061,9551104.0,-10.53,-6.02,-0.08,0.92,,,,
2002-05-27,-1.37,-1.35,-1.35,-1.42,10882,4954189.0,-4.96,4.26,0.06,0.47,,,,
2002-05-28,-1.35,-1.35,-1.29,-1.39,9883,4540943.0,-7.41,0.0,0.0,0.43,,,,
2002-05-29,-1.34,-1.43,-1.31,-1.46,21938,9903722.0,-11.11,-5.93,-0.08,0.95,,,,
2002-05-30,-1.43,-1.46,-1.39,-1.52,16565,7401078.0,-9.09,-2.1,-0.03,0.72,,,,
