日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额(元),换手率(%),总市值(元),流通市值(元),总股本(股),流通股本
2003-06-16,-5.98,-5.96,-5.85,-6.07,206991,328918890.0,-2.86,22.4,1.72,51.75,,,,
2003-06-17,-5.97,-5.92,-5.9,-5.99,56840,91366338.0,-1.51,0.67,0.04,14.21,,,,
2003-06-18,-5.92,-6.02,-5.91,-6.04,39029,61820172.0,-2.2,-1.69,-0.1,9.76,,,,
2003-06-19,-6.02,-5.98,-5.95,-6.09,39827,62216163.0,-2.33,0.66,0.04,9.96,,,,
2003-06-20,-6.0,-6.09,-5.96,-6.09,21199,33243831.0,-2.17,-1.84,-0.11,5.3,,,,
2003-06-23,-6.09,-6.06,-6.05,-6.11,13131,20295678.0,-0.99,0.49,0.03,3.28,,,,
2003-06-24,-6.07,-6.07,-6.04,-6.09,8736,13534473.0,-0.83,-0.17,-0.01,2.18,,,,
2003-06-25,-6.07,-6.18,-6.06,-6.2,19799,30030449.0,-2.31,-1.81,-0.11,4.95,,,,
2003-06-26,-6.18,-6.22,-6.17,-6.28,19005,28194569.0,-1.78,-0.65,-0.04,4.75,,,,
2003-06-27,-6.23,-6.29,-6.22,-6.29,12404,18144949.0,-1.13,-1.13,-0.07,3.1,,,,
2003-06-30,-6.3,-6.3,-6.23,-6.32,8426,12295251.0,-1.43,-0.16,-0.01,2.11,,,,
2003-07-01,-6.31,-6.3,-6.23,-6.32,7128,10397706.0,-1.43,0.0,0.0,1.78,,,,
2003-07-02,-6.25,-6.17,-6.11,-6.28,25078,37594725.0,-2.7,2.06,0.13,6.27,,,,
2003-07-03,-6.21,-6.19,-6.17,-6.23,8555,12766069.0,-0.97,-0.32,-0.02,2.14,,,,
2003-07-04,-6.21,-6.2,-6.18,-6.23,5682,8453458.0,-0.81,-0.16,-0.01,1.42,,,,
2003-07-07,-6.2,-6.23,-6.2,-6.26,5860,8638812.0,-0.97,-0.48,-0.03,1.47,,,,
2003-07-08,-6.23,-6.18,-6.16,-6.28,7986,11870834.0,-1.93,0.8,0.05,2.0,,,,
2003-07-09,-6.18,-6.21,-6.16,-6.22,4207,6256947.0,-0.97,-0.49,-0.03,1.05,,,,
2003-07-10,-6.24,-6.17,-6.16,-6.24,8441,12655101.0,-1.29,0.64,0.04,2.11,,,,
2003-07-11,-6.17,-6.19,-6.17,-6.21,5350,8003647.0,-0.65,-0.32,-0.02,1.34,,,,
2003-07-14,-6.19,-6.22,-6.19,-6.23,5401,8017008.0,-0.65,-0.48,-0.03,1.35,,,,
2003-07-15,-6.22,-6.12,-6.12,-6.23,9767,14719627.0,-1.77,1.61,0.1,2.44,,,,
2003-07-16,-6.13,-6.15,-6.13,-6.17,4975,7529574.0,-0.65,-0.49,-0.03,1.24,,,,
2003-07-17,-6.15,-6.12,-6.11,-6.17,9865,15001967.0,-0.98,0.49,0.03,2.47,,,,
2003-07-18,-6.12,-6.13,-6.01,-6.14,27495,42584685.0,-2.12,-0.16,-0.01,6.87,,,,
2003-07-21,-6.16,-6.11,-6.11,-6.21,15707,23753587.0,-1.63,0.33,0.02,3.93,,,,
2003-07-22,-6.1,-6.11,-6.07,-6.15,6296,9661120.0,-1.31,0.0,0.0,1.57,,,,
2003-07-23,-6.15,-6.13,-6.11,-6.15,4251,6462810.0,-0.65,-0.33,-0.02,1.06,,,,
