日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额(元),换手率(%),总市值(元),流通市值(元),总股本(股),流通股本
2004-05-17,-0.85,-0.86,-0.77,-0.87,78693,184868613.0,-6.45,44.52,0.69,43.72,,,,
2004-05-18,-0.82,-0.8,-0.76,-0.84,29579,69984528.0,-9.3,6.98,0.06,16.43,,,,
2004-05-19,-0.79,-0.86,-0.77,-0.87,15971,37417334.0,-12.5,-7.5,-0.06,8.87,,,,
2004-05-20,-0.87,-0.95,-0.87,-0.96,18686,42020898.0,-10.47,-10.47,-0.09,10.38,,,,
2004-05-21,-0.95,-0.98,-0.93,-1.01,9773,21468158.0,-8.42,-3.16,-0.03,5.43,,,,
2004-05-24,-0.99,-0.98,-0.97,-1.02,11754,25592348.0,-5.1,0.0,0.0,6.53,,,,
2004-05-25,-0.99,-1.13,-0.99,-1.15,18618,38660566.0,-16.33,-15.31,-0.15,10.34,,,,
2004-05-26,-1.15,-1.14,-1.12,-1.18,11185,22550671.0,-5.31,-0.88,-0.01,6.21,,,,
2004-05-27,-1.15,-1.07,-1.06,-1.17,10474,21649012.0,-9.65,6.14,0.07,5.82,,,,
2004-05-28,-1.07,-1.07,-1.02,-1.09,12637,26832471.0,-6.54,0.0,0.0,7.02,,,,
2004-05-31,-1.07,-1.04,-1.02,-1.08,7076,15029172.0,-5.61,2.8,0.03,3.93,,,,
2004-06-01,-1.03,-0.93,-0.89,-1.06,24464,54108813.0,-16.35,10.58,0.11,13.59,,,,
2004-06-02,-0.93,-0.97,-0.89,-0.98,14391,32026805.0,-9.68,-4.3,-0.04,8.0,,,,
2004-06-03,-0.99,-0.99,-0.96,-1.03,10810,23489227.0,-7.22,-2.06,-0.02,6.01,,,,
2004-06-04,-0.99,-1.02,-0.96,-1.03,4927,10676501.0,-7.07,-3.03,-0.03,2.74,,,,
2004-06-07,-1.02,-1.0,-0.98,-1.03,4815,10444749.0,-4.9,1.96,0.02,2.67,,,,
2004-06-08,-1.0,-1.08,-1.0,-1.09,6240,13173629.0,-9.0,-8.0,-0.08,3.47,,,,
2004-06-09,-1.1,-1.13,-1.07,-1.13,5952,12293766.0,-5.56,-4.63,-0.05,3.31,,,,
2004-06-10,-1.13,-1.17,-1.1,-1.18,8349,16813862.0,-7.08,-3.54,-0.04,4.64,,,,
2004-06-11,-1.17,-1.15,-1.09,-1.17,6216,12634834.0,-6.84,1.71,0.02,3.45,,,,
2004-06-14,-1.15,-1.22,-1.15,-1.24,6074,11946683.0,-7.83,-6.09,-0.07,3.37,,,,
2004-06-15,-1.23,-1.19,-1.18,-1.24,2683,5236091.0,-4.92,2.46,0.03,1.49,,,,
2004-06-16,-1.18,-1.2,-1.17,-1.22,2457,4845301.0,-4.2,-0.84,-0.01,1.36,,,,
2004-06-17,-1.19,-1.19,-1.13,-1.2,4353,8704006.0,-5.83,0.83,0.01,2.42,,,,
2004-06-18,-1.18,-1.15,-1.15,-1.2,5399,10773729.0,-4.2,3.36,0.04,3.0,,,,
2004-06-21,-1.13,-1.05,-1.05,-1.15,9243,19282941.0,-8.7,8.7,0.1,5.13,,,,
2004-06-22,-1.04,-1.07,-1.04,-1.08,5703,11983428.0,-3.81,-1.9,-0.02,3.17,,,,
2004-06-23,-1.08,-1.09,-1.07,-1.14,4495,9262152.0,-6.54,-1.87,-0.02,2.5,,,,
2004-06-24,-1.09,-1.03,-1.01,-1.1,9540,20346754.0,-8.26,5.5,0.06,5.3,,,,
2004-06-25,-0.99,-1.11,-0.97,-1.11,15041,31969149.0,-13.59,-7.77,-0.08,8.36,,,,
2004-06-28,-1.15,-1.24,-1.15,-1.25,7608,14906591.0,-9.01,-11.71,-0.13,4.23,,,,
2004-06-29,-1.27,-1.2,-1.2,-1.27,6124,11830231.0,-5.65,3.23,0.04,3.4,,,,
2004-06-30,-1.21,-1.24,-1.18,-1.24,2021,3947934.0,-5.0,-3.33,-0.04,1.12,,,,
2004-07-01,-1.23,-1.18,-1.17,-1.24,4033,7985839.0,-5.65,4.84,0.06,2.24,,,,
2004-07-02,-1.2,-1.21,-1.18,-1.22,4067,7948880.0,-3.39,-2.54,-0.03,2.26,,,,
2004-07-05,-1.23,-1.22,-1.19,-1.23,1437,2803883.0,-3.31,-0.83,-0.01,0.8,,,,
2004-07-06,-1.22,-1.21,-1.19,-1.22,1893,3723036.0,-2.46,0.82,0.01,1.05,,,,
2004-07-07,-1.21,-1.24,-1.21,-1.24,2389,4641368.0,-2.48,-2.48,-0.03,1.33,,,,
2004-07-08,-1.24,-1.23,-1.22,-1.24,1373,2659383.0,-1.61,0.81,0.01,0.76,,,,
2004-07-09,-1.24,-1.25,-1.22,-1.25,1819,3513170.0,-2.44,-1.63,-0.02,1.01,,,,
2004-07-12,-1.26,-1.37,-1.26,-1.38,4784,8757684.0,-9.6,-9.6,-0.12,2.66,,,,
2004-07-13,-1.38,-1.37,-1.35,-1.4,1947,3496011.0,-3.65,0.0,0.0,1.08,,,,
2004-07-14,-1.37,-1.39,-1.35,-1.43,2130,3753600.0,-5.84,-1.46,-0.02,1.18,,,,
2004-07-15,-1.39,-1.37,-1.36,-1.42,2180,3887763.0,-4.32,1.44,0.02,1.21,,,,
2004-07-16,-1.35,-1.29,-1.28,-1.37,3814,7071721.0,-6.57,5.84,0.08,2.12,,,,
2004-07-19,-1.29,-1.31,-1.26,-1.31,2684,5046358.0,-3.88,-1.55,-0.02,1.49,,,,
2004-07-20,-1.31,-1.32,-1.3,-1.34,1176,2168494.0,-3.05,-0.76,-0.01,0.65,,,,
2004-07-21,-1.32,-1.36,-1.3,-1.37,2199,3986674.0,-5.3,-3.03,-0.04,1.22,,,,
2004-07-22,-1.35,-1.4,-1.34,-1.41,2019,3610227.0,-5.15,-2.94,-0.04,1.12,,,,
2004-07-23,-1.41,-1.38,-1.38,-1.42,1315,2328035.0,-2.86,1.43,0.02,0.73,,,,
2004-07-26,-1.4,-1.42,-1.4,-1.43,1695,2964444.0,-2.17,-2.9,-0.04,0.94,,,,
2004-07-27,-1.42,-1.4,-1.39,-1.43,2098,3684835.0,-2.82,1.41,0.02,1.17,,,,
2004-07-28,-1.41,-1.38,-1.37,-1.42,1192,2112826.0,-3.57,1.43,0.02,0.66,,,,
2004-07-29,-1.38,-1.32,-1.3,-1.38,2382,4357728.0,-5.8,4.35,0.06,1.32,,,,
2004-07-30,-1.32,-1.34,-1.32,-1.37,1586,2891999.0,-3.79,-1.52,-0.02,0.88,,,,
2004-08-02,-1.37,-1.37,-1.34,-1.37,1168,2103680.0,-2.24,-2.24,-0.03,0.65,,,,
2004-08-03,-1.29,-1.19,-1.19,-1.31,5716,11177672.0,-8.76,13.14,0.18,3.18,,,,
2004-08-04,-1.07,-1.11,-1.02,-1.13,31726,65899293.0,-9.24,6.72,0.08,17.63,,,,
2004-08-05,-1.14,-1.06,-0.99,-1.15,22815,48356957.0,-14.41,4.5,0.05,12.67,,,,
2004-08-06,-1.07,-1.07,-1.05,-1.12,10177,21200105.0,-6.6,-0.94,-0.01,5.65,,,,
2004-08-09,-1.08,-1.08,-1.07,-1.15,5870,12127647.0,-7.48,-0.93,-0.01,3.26,,,,
2004-08-10,-1.08,-1.08,-1.07,-1.11,4092,8493082.0,-3.7,0.0,0.0,2.27,,,,
2004-08-11,-0.89,-1.09,-0.89,-1.1,13424,28975063.0,-19.44,-0.93,-0.01,7.46,,,,
2004-08-12,-1.11,-1.11,-1.1,-1.14,4671,9567527.0,-3.67,-1.83,-0.02,2.59,,,,
2004-08-13,-1.13,-1.13,-1.1,-1.13,3503,7184382.0,-2.7,-1.8,-0.02,1.95,,,,
2004-08-16,-1.14,-1.19,-1.14,-1.19,4571,9110787.0,-4.42,-5.31,-0.06,2.54,,,,
2004-08-17,-1.19,-1.17,-1.14,-1.19,2414,4838800.0,-4.2,1.68,0.02,1.34,,,,
2004-08-18,-1.17,-1.19,-1.16,-1.19,1886,3762577.0,-2.56,-1.71,-0.02,1.05,,,,
2004-08-19,-1.18,-1.27,-1.18,-1.28,5355,10317856.0,-8.4,-6.72,-0.08,2.98,,,,
2004-08-20,-1.27,-1.25,-1.23,-1.3,2914,5564432.0,-5.51,1.57,0.02,1.62,,,,
2004-08-23,-1.26,-1.29,-1.25,-1.29,1838,3476892.0,-3.2,-3.2,-0.04,1.02,,,,
2004-08-24,-1.28,-1.25,-1.24,-1.3,3219,6137471.0,-4.65,3.1,0.04,1.79,,,,
2004-08-25,-1.27,-1.26,-1.24,-1.28,1025,1959509.0,-3.2,-0.8,-0.01,0.57,,,,
2004-08-26,-1.15,-1.26,-1.15,-1.27,3710,7277759.0,-9.52,0.0,0.0,2.06,,,,
2004-08-27,-1.27,-1.25,-1.22,-1.28,1516,2883038.0,-4.76,0.79,0.01,0.84,,,,
2004-08-30,-1.26,-1.24,-1.22,-1.29,1982,3801924.0,-5.6,0.8,0.01,1.1,,,,
2004-08-31,-1.18,-1.21,-1.17,-1.22,3968,7843164.0,-4.03,2.42,0.03,2.2,,,,
2004-09-01,-1.22,-1.25,-1.22,-1.25,1126,2174410.0,-2.48,-3.31,-0.04,0.63,,,,
2004-09-02,-1.25,-1.25,-1.24,-1.28,2454,4676863.0,-3.2,0.0,0.0,1.36,,,,
2004-09-03,-1.24,-1.23,-1.17,-1.25,3006,5909196.0,-6.4,1.6,0.02,1.67,,,,
2004-09-06,-1.24,-1.19,-1.18,-1.24,1627,3198088.0,-4.88,3.25,0.04,0.9,,,,
2004-09-07,-1.19,-1.18,-1.18,-1.2,1039,2055796.0,-1.68,0.84,0.01,0.58,,,,
2004-09-08,-1.18,-1.21,-1.18,-1.24,1368,2688354.0,-5.08,-2.54,-0.03,0.76,,,,
2004-09-09,-1.23,-1.23,-1.21,-1.24,3595,6989975.0,-2.48,-1.65,-0.02,2.0,,,,
2004-09-10,-1.23,-1.2,-1.19,-1.24,1758,3438852.0,-4.07,2.44,0.03,0.98,,,,
2004-09-13,-1.2,-1.25,-1.2,-1.26,1510,2917029.0,-5.0,-4.17,-0.05,0.84,,,,
2004-09-14,-1.27,-1.21,-1.17,-1.27,1811,3554908.0,-8.0,3.2,0.04,1.01,,,,
2004-09-15,-1.22,-1.13,-1.09,-1.23,6232,12729805.0,-11.57,6.61,0.08,3.46,,,,
2004-09-16,-1.13,-1.1,-1.08,-1.13,4977,10252230.0,-4.42,2.65,0.03,2.77,,,,
2004-09-17,-1.08,-1.05,-1.05,-1.11,7294,15229119.0,-5.45,4.55,0.05,4.05,,,,
2004-09-20,-1.03,-1.0,-0.98,-1.04,10262,22097855.0,-5.71,4.76,0.05,5.7,,,,
2004-09-21,-1.0,-1.0,-0.95,-1.04,8939,19449502.0,-9.0,0.0,0.0,4.97,,,,
2004-09-22,-1.0,-0.97,-0.94,-1.02,10699,23530349.0,-8.0,3.0,0.03,5.94,,,,
2004-09-23,-0.96,-0.96,-0.95,-1.02,7415,16169067.0,-7.22,1.03,0.01,4.12,,,,
2004-09-24,-0.96,-1.01,-0.85,-1.01,13944,31679042.0,-16.67,-5.21,-0.05,7.75,,,,
2004-09-27,-0.98,-1.0,-0.96,-1.03,5460,11880923.0,-6.93,0.99,0.01,3.03,,,,
2004-09-28,-0.99,-0.98,-0.96,-1.02,3412,7437668.0,-6.0,2.0,0.02,1.9,,,,
2004-09-29,-0.99,-0.92,-0.9,-0.99,7674,17099669.0,-9.18,6.12,0.06,4.26,,,,
